S|K3|n14|O	(A⋀B)⋀(A⋀B⋀C)
S|K3|n18|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
S|K3|n18|O	(A⋀C)⋀(A⋀B⋀C⋀D)
S|K3|n20|D	¬((A⋁B)⋀C)
S|K3|n20|O	(A⋁B)⋀C
S|K3|n06|D	(C)⋀¬(A⋀B⋀C)
S|K3|n06|O	(C)⋀(A⋀B⋀C)
S|K3|n10|D	¬(A⋀B⋀C⋀D)
S|K3|n10|O	A⋀B⋀C⋀D
S|K3|n19|D	(C)⋀¬(A⋁B⋁C⋁D)
S|K3|n19|O	(C)⋀(A⋁B⋁C⋁D)
S|K3|n07|D	(C)⋀¬(A⋀B⋀C)
S|K3|n07|O	(C)⋀(A⋀B⋀C)
S|K4|n01|D	¬(A⋀B⋀C)
S|K4|n01|O	A⋀B⋀C
S|K4|n22|D	¬(A⋁B⋁C)
S|K4|n22|O	A⋁B⋁C
S|K4|n23|D	(A)⋀¬(A⋁B)
S|K4|n23|O	(A)⋀(A⋁B)
S|K4|n02|D	¬(A⋀B⋀C)
S|K4|n02|O	A⋀B⋀C
S|K4|n12|D	¬(A⋀B⋀C⋀D)
S|K4|n12|O	A⋀B⋀C⋀D
S|K4|n16|D	(B)⋀¬(A⋀B⋀C⋀D)
S|K4|n16|O	(B)⋀(A⋀B⋀C⋀D)
S|K4|n24|D	(A)⋀¬(A⋁B⋁C⋁D)
S|K4|n24|O	(A)⋀(A⋁B⋁C⋁D)
S|K4|n25|D	¬(A⋁B⋁C⋁D)
S|K4|n25|O	A⋁B⋁C⋁D
S|K4|n03|D	¬((A⋁B)⋀C)
S|K4|n03|O	(A⋁B)⋀C
S|K4|n05|D	¬(A⋀B⋀C⋀D)
S|K4|n05|O	A⋀B⋀C⋀D
S|K4|n09|D	¬(A⋀B⋀C⋀D)
S|K4|n09|O	A⋀B⋀C⋀D
S|K4|n13|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
S|K4|n13|O	(A⋀C)⋀(A⋀B⋀C⋀D)
S|K4|n14|D	(A⋀B)⋀¬(A⋀B⋀C)
S|K4|n14|O	(A⋀B)⋀(A⋀B⋀C)
S|K4|n18|D	(A)⋀¬(A⋀B⋀C⋀D)
S|K4|n18|O	(A)⋀(A⋀B⋀C⋀D)
S|K4|n20|D	¬((A⋁B)⋀C)
S|K4|n20|O	(A⋁B)⋀C
S|K4|n06|D	¬(A⋀B⋀C)
S|K4|n06|O	A⋀B⋀C
S|K4|n10|D	¬(A⋀B⋀C⋀D)
S|K4|n10|O	A⋀B⋀C⋀D
S|K4|n19|D	¬(A⋁B⋁C⋁D)
S|K4|n19|O	A⋁B⋁C⋁D
S|K4|n07|D	¬(A⋀B⋀C)
S|K4|n07|O	A⋀B⋀C
S|K5|n01|D	(¬C)⋀¬(A⋀B⋀C)
S|K5|n01|O	(¬C)⋀(A⋀B⋀C)
S|K5|n22|D	¬(A⋁B⋁C)
S|K5|n22|O	A⋁B⋁C
S|K5|n23|D	¬(A⋁B)
S|K5|n23|O	A⋁B
S|K5|n02|D	¬(A⋀B⋀C)
S|K5|n02|O	A⋀B⋀C
S|K5|n12|D	¬(A⋀B⋀C⋀D)
S|K5|n12|O	A⋀B⋀C⋀D
S|K5|n16|D	(¬C)⋀¬(A⋀B⋀C⋀D)
S|K5|n16|O	(¬C)⋀(A⋀B⋀C⋀D)
S|K5|n24|D	¬(A⋁B⋁C⋁D)
S|K5|n24|O	A⋁B⋁C⋁D
S|K5|n25|D	¬(A⋁B⋁C⋁D)
S|K5|n25|O	A⋁B⋁C⋁D
S|K5|n03|D	(A)⋀¬((A⋁B)⋀C)
S|K5|n03|O	(A)⋀((A⋁B)⋀C)
S|K5|n05|D	(C⋀D)⋀¬(A⋀B⋀C⋀D)
S|K5|n05|O	(C⋀D)⋀(A⋀B⋀C⋀D)
S|K5|n09|D	¬(A⋀B⋀C⋀D)
S|K5|n09|O	A⋀B⋀C⋀D
S|K5|n13|D	¬(A⋀B⋀C⋀D)
S|K5|n13|O	A⋀B⋀C⋀D
S|K5|n14|D	¬(A⋀B⋀C)
S|K5|n14|O	A⋀B⋀C
S|K5|n18|D	(¬A⋀C)⋀¬(A⋀B⋀C⋀D)
S|K5|n18|O	(¬A⋀C)⋀(A⋀B⋀C⋀D)
S|K5|n20|D	¬((A⋁B)⋀C)
S|K5|n20|O	(A⋁B)⋀C
S|K5|n06|D	¬(A⋀B⋀C)
S|K5|n06|O	A⋀B⋀C
S|K5|n10|D	¬(A⋀B⋀C⋀D)
S|K5|n10|O	A⋀B⋀C⋀D
S|K5|n19|D	(A)⋀¬(A⋁B⋁C⋁D)
S|K5|n19|O	(A)⋀(A⋁B⋁C⋁D)
S|K5|n07|D	(B⋀C)⋀¬(A⋀B⋀C)
S|K5|n07|O	(B⋀C)⋀(A⋀B⋀C)
B|K1|n01|D	¬(A⋀B⋀C)
B|K1|n01|O	A⋀B⋀C
B|K1|n22|D	¬(A⋁B⋁C)
B|K1|n22|O	A⋁B⋁C
B|K1|n23|D	(A⋀B)⋀¬(A⋁B)
B|K1|n23|O	(A⋀B)⋀(A⋁B)
B|K1|n02|D	¬(A⋀B⋀C)
B|K1|n02|O	A⋀B⋀C
B|K1|n12|D	¬(A⋀B⋀C⋀D)
B|K1|n12|O	A⋀B⋀C⋀D
B|K1|n16|D	(A⋀B)⋀¬(A⋀B⋀C⋀D)
B|K1|n16|O	(A⋀B)⋀(A⋀B⋀C⋀D)
B|K1|n24|D	(¬A⋀D)⋀¬(A⋁B⋁C⋁D)
B|K1|n24|O	(¬A⋀D)⋀(A⋁B⋁C⋁D)
B|K1|n25|D	(D)⋀¬(A⋁B⋁C⋁D)
B|K1|n25|O	(D)⋀(A⋁B⋁C⋁D)
B|K1|n03|D	(A⋀B)⋀¬((A⋁B)⋀C)
B|K1|n03|O	(A⋀B)⋀((A⋁B)⋀C)
B|K1|n05|D	(D)⋀¬(A⋀B⋀C⋀D)
B|K1|n05|O	(D)⋀(A⋀B⋀C⋀D)
B|K1|n09|D	¬(A⋀B⋀C⋀D)
B|K1|n09|O	A⋀B⋀C⋀D
B|K1|n13|D	¬(A⋀B⋀C⋀D)
B|K1|n13|O	A⋀B⋀C⋀D
B|K1|n14|D	(A⋀B)⋀¬(A⋀B⋀C)
B|K1|n14|O	(A⋀B)⋀(A⋀B⋀C)
B|K1|n18|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
B|K1|n18|O	(A⋀C)⋀(A⋀B⋀C⋀D)
B|K1|n20|D	¬((A⋁B)⋀C)
B|K1|n20|O	(A⋁B)⋀C
B|K1|n06|D	¬(A⋀B⋀C)
B|K1|n06|O	A⋀B⋀C
B|K1|n10|D	¬(A⋀B⋀C⋀D)
B|K1|n10|O	A⋀B⋀C⋀D
B|K1|n19|D	(A⋀B)⋀¬(A⋁B⋁C⋁D)
B|K1|n19|O	(A⋀B)⋀(A⋁B⋁C⋁D)
B|K1|n07|D	(A)⋀¬(A⋀B⋀C)
B|K1|n07|O	(A)⋀(A⋀B⋀C)
B|K2|n01|D	(¬C)⋀¬(A⋀B⋀C)
B|K2|n01|O	(¬C)⋀(A⋀B⋀C)
B|K2|n22|D	¬(A⋁B⋁C)
B|K2|n22|O	A⋁B⋁C
B|K2|n23|D	(B)⋀¬(A⋁B)
B|K2|n23|O	(B)⋀(A⋁B)
B|K2|n02|D	¬(A⋀B⋀C)
B|K2|n02|O	A⋀B⋀C
B|K2|n12|D	¬(A⋀B⋀C⋀D)
B|K2|n12|O	A⋀B⋀C⋀D
B|K2|n16|D	(¬A)⋀¬(A⋀B⋀C⋀D)
B|K2|n16|O	(¬A)⋀(A⋀B⋀C⋀D)
B|K2|n24|D	(¬D)⋀¬(A⋁B⋁C⋁D)
B|K2|n24|O	(¬D)⋀(A⋁B⋁C⋁D)
B|K2|n25|D	(A)⋀¬(A⋁B⋁C⋁D)
B|K2|n25|O	(A)⋀(A⋁B⋁C⋁D)
B|K2|n03|D	¬((A⋁B)⋀C)
B|K2|n03|O	(A⋁B)⋀C
B|K2|n05|D	(A)⋀¬(A⋀B⋀C⋀D)
B|K2|n05|O	(A)⋀(A⋀B⋀C⋀D)
B|K2|n09|D	¬(A⋀B⋀C⋀D)
B|K2|n09|O	A⋀B⋀C⋀D
B|K2|n13|D	¬(A⋀B⋀C⋀D)
B|K2|n13|O	A⋀B⋀C⋀D
B|K2|n14|D	(A⋀C)⋀¬(A⋀B⋀C)
B|K2|n14|O	(A⋀C)⋀(A⋀B⋀C)
B|K2|n18|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
B|K2|n18|O	(A⋀C)⋀(A⋀B⋀C⋀D)
B|K2|n20|D	(B)⋀¬((A⋁B)⋀C)
B|K2|n20|O	(B)⋀((A⋁B)⋀C)
B|K2|n06|D	¬(A⋀B⋀C)
B|K2|n06|O	A⋀B⋀C
B|K2|n10|D	¬(A⋀B⋀C⋀D)
B|K2|n10|O	A⋀B⋀C⋀D
B|K2|n19|D	(A)⋀¬(A⋁B⋁C⋁D)
B|K2|n19|O	(A)⋀(A⋁B⋁C⋁D)
B|K2|n07|D	¬(A⋀B⋀C)
B|K2|n07|O	A⋀B⋀C
B|K3|n01|D	(¬C)⋀¬(A⋀B⋀C)
B|K3|n01|O	(¬C)⋀(A⋀B⋀C)
B|K3|n22|D	¬(A⋁B⋁C)
B|K3|n22|O	A⋁B⋁C
B|K3|n23|D	(A)⋀¬(A⋁B)
B|K3|n23|O	(A)⋀(A⋁B)
B|K3|n02|D	(A)⋀¬(A⋀B⋀C)
B|K3|n02|O	(A)⋀(A⋀B⋀C)
B|K3|n12|D	¬(A⋀B⋀C⋀D)
B|K3|n12|O	A⋀B⋀C⋀D
B|K3|n16|D	(¬A)⋀¬(A⋀B⋀C⋀D)
B|K3|n16|O	(¬A)⋀(A⋀B⋀C⋀D)
B|K3|n24|D	(¬A⋀B⋀C⋀D)⋀¬(A⋁B⋁C⋁D)
B|K3|n24|O	(¬A⋀B⋀C⋀D)⋀(A⋁B⋁C⋁D)
B|K3|n25|D	¬(A⋁B⋁C⋁D)
B|K3|n25|O	A⋁B⋁C⋁D
B|K3|n03|D	(A⋀C)⋀¬((A⋁B)⋀C)
B|K3|n03|O	(A⋀C)⋀((A⋁B)⋀C)
B|K3|n05|D	(D)⋀¬(A⋀B⋀C⋀D)
B|K3|n05|O	(D)⋀(A⋀B⋀C⋀D)
B|K3|n09|D	¬(A⋀B⋀C⋀D)
B|K3|n09|O	A⋀B⋀C⋀D
B|K3|n13|D	¬(A⋀B⋀C⋀D)
B|K3|n13|O	A⋀B⋀C⋀D
B|K3|n14|D	(A⋀B)⋀¬(A⋀B⋀C)
B|K3|n14|O	(A⋀B)⋀(A⋀B⋀C)
B|K3|n18|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
B|K3|n18|O	(A⋀C)⋀(A⋀B⋀C⋀D)
B|K3|n20|D	¬((A⋁B)⋀C)
B|K3|n20|O	(A⋁B)⋀C
B|K3|n06|D	(C)⋀¬(A⋀B⋀C)
B|K3|n06|O	(C)⋀(A⋀B⋀C)
B|K3|n10|D	¬(A⋀B⋀C⋀D)
B|K3|n10|O	A⋀B⋀C⋀D
B|K3|n19|D	(C)⋀¬(A⋁B⋁C⋁D)
B|K3|n19|O	(C)⋀(A⋁B⋁C⋁D)
B|K3|n07|D	(A⋀C)⋀¬(A⋀B⋀C)
B|K3|n07|O	(A⋀C)⋀(A⋀B⋀C)
B|K4|n01|D	(¬C)⋀¬(A⋀B⋀C)
B|K4|n01|O	(¬C)⋀(A⋀B⋀C)
B|K4|n22|D	¬(A⋁B⋁C)
B|K4|n22|O	A⋁B⋁C
B|K4|n23|D	(A)⋀¬(A⋁B)
B|K4|n23|O	(A)⋀(A⋁B)
B|K4|n02|D	¬(A⋀B⋀C)
B|K4|n02|O	A⋀B⋀C
B|K4|n12|D	¬(A⋀B⋀C⋀D)
B|K4|n12|O	A⋀B⋀C⋀D
B|K4|n16|D	(¬A⋀B)⋀¬(A⋀B⋀C⋀D)
B|K4|n16|O	(¬A⋀B)⋀(A⋀B⋀C⋀D)
B|K4|n24|D	(A⋀¬D)⋀¬(A⋁B⋁C⋁D)
B|K4|n24|O	(A⋀¬D)⋀(A⋁B⋁C⋁D)
B|K4|n25|D	¬(A⋁B⋁C⋁D)
B|K4|n25|O	A⋁B⋁C⋁D
B|K4|n03|D	(A⋀B)⋀¬((A⋁B)⋀C)
B|K4|n03|O	(A⋀B)⋀((A⋁B)⋀C)
B|K4|n05|D	(A)⋀¬(A⋀B⋀C⋀D)
B|K4|n05|O	(A)⋀(A⋀B⋀C⋀D)
B|K4|n09|D	¬(A⋀B⋀C⋀D)
B|K4|n09|O	A⋀B⋀C⋀D
B|K4|n13|D	(A⋀C)⋀¬(A⋀B⋀C⋀D)
B|K4|n13|O	(A⋀C)⋀(A⋀B⋀C⋀D)
B|K4|n14|D	(A⋀B)⋀¬(A⋀B⋀C)
B|K4|n14|O	(A⋀B)⋀(A⋀B⋀C)
B|K4|n18|D	(A⋀B⋀C)⋀¬(A⋀B⋀C⋀D)
B|K4|n18|O	(A⋀B⋀C)⋀(A⋀B⋀C⋀D)
B|K4|n20|D	¬((A⋁B)⋀C)
B|K4|n20|O	(A⋁B)⋀C
B|K4|n06|D	¬(A⋀B⋀C)
B|K4|n06|O	A⋀B⋀C
B|K4|n10|D	¬(A⋀B⋀C⋀D)
B|K4|n10|O	A⋀B⋀C⋀D
B|K4|n19|D	(C)⋀¬(A⋁B⋁C⋁D)
B|K4|n19|O	(C)⋀(A⋁B⋁C⋁D)
B|K4|n07|D	¬(A⋀B⋀C)
B|K4|n07|O	A⋀B⋀C
B|K5|n01|D	(¬C)⋀¬(A⋀B⋀C)
B|K5|n01|O	(¬C)⋀(A⋀B⋀C)
B|K5|n22|D	¬(A⋁B⋁C)
B|K5|n22|O	A⋁B⋁C
B|K5|n23|D	¬(A⋁B)
B|K5|n23|O	A⋁B
B|K5|n02|D	¬(A⋀B⋀C)
B|K5|n02|O	A⋀B⋀C
B|K5|n12|D	¬(A⋀B⋀C⋀D)
B|K5|n12|O	A⋀B⋀C⋀D
B|K5|n16|D	(¬A⋀¬C)⋀¬(A⋀B⋀C⋀D)
B|K5|n16|O	(¬A⋀¬C)⋀(A⋀B⋀C⋀D)
B|K5|n24|D	(¬A)⋀¬(A⋁B⋁C⋁D)
B|K5|n24|O	(¬A)⋀(A⋁B⋁C⋁D)
B|K5|n25|D	¬(A⋁B⋁C⋁D)
B|K5|n25|O	A⋁B⋁C⋁D
B|K5|n03|D	(A)⋀¬((A⋁B)⋀C)
B|K5|n03|O	(A)⋀((A⋁B)⋀C)
B|K5|n05|D	(C⋀D)⋀¬(A⋀B⋀C⋀D)
B|K5|n05|O	(C⋀D)⋀(A⋀B⋀C⋀D)
B|K5|n09|D	¬(A⋀B⋀C⋀D)
B|K5|n09|O	A⋀B⋀C⋀D
B|K5|n13|D	¬(A⋀B⋀C⋀D)
B|K5|n13|O	A⋀B⋀C⋀D
B|K5|n14|D	¬(A⋀B⋀C)
B|K5|n14|O	A⋀B⋀C
B|K5|n18|D	(¬A⋀C)⋀¬(A⋀B⋀C⋀D)
B|K5|n18|O	(¬A⋀C)⋀(A⋀B⋀C⋀D)
B|K5|n20|D	¬((A⋁B)⋀C)
B|K5|n20|O	(A⋁B)⋀C
B|K5|n06|D	¬(A⋀B⋀C)
B|K5|n06|O	A⋀B⋀C
B|K5|n10|D	¬(A⋀B⋀C⋀D)
B|K5|n10|O	A⋀B⋀C⋀D
B|K5|n19|D	(A⋀B)⋀¬(A⋁B⋁C⋁D)
B|K5|n19|O	(A⋀B)⋀(A⋁B⋁C⋁D)
B|K5|n07|D	(B⋀C)⋀¬(A⋀B⋀C)
B|K5|n07|O	(B⋀C)⋀(A⋀B⋀C)
